sr_no,country,population(2020),world_share(%),land_area_km²
171,Kiribati,119449,0.0,810
172,Burundi,11890784,0.2,25680
173,Tunisia,11818619,0.2,155360
174,Tuvalu,11792,0.0,30
175,Bolivia,11673021,0.1,1083300
176,Eswatini,1160164,0.0,17200
177,Belgium,11589623,0.1,30280
178,Ethiopia,114963588,1.5,1000000
179,Haiti,11402528,0.1,27560
180,Cuba,11326616,0.1,106440
181,Grenada,112523,0.0,340
182,South Sudan,11193725,0.1,610952
183,St. Vincent & Grenadines,110940,0.0,390
184,Philippines,109581078,1.4,298170
185,Dominican Republic,10847910,0.1,48320
186,Nauru,10824,0.0,20
187,Czech Republic (Czechia),10708981,0.1,77240
188,Tonga,105695,0.0,720
189,Greece,10423054,0.1,128900
190,Egypt,102334404,1.3,995450
191,Jordan,10203134,0.1,88780
192,Portugal,10196709,0.1,91590
193,Azerbaijan,10139177,0.1,82658
194,Sweden,10099265,0.1,410340
195,India,0,0.0,2973190
